country;beer_servings;spirit_servings;wine_servings;total_litres_of_pure_alcohol;alcohol_servings
Belarus;142;373;42;14.04;
Lithuania;343;244;56;12.09;
Andorra;245;138;312;12.04;
Grenada;199;438;28;11.09;
Czech Republic;361;170;134;11.08;
France;127;151;370;11.08;
Russian Federation;247;326;73;11.05;
Ireland;313;118;165;11.04;
Luxembourg;236;133;271;11.04;
Slovakia;196;293;116;11.04;
Germany;346;117;175;11.03;
Hungary;234;215;185;11.03;
Portugal;194;67;339;11.00;
Poland;343;215;56;10.09;
Slovenia;270;51;276;10.06;
Belgium;295;84;212;10.05;
Latvia;281;216;62;10.05;
Australia;261;72;212;10.04;
Denmark;224;81;278;10.04;
Romania;297;122;167;10.04;
